City_ID,City,Lat,Lng,Max Temp (C),Humidity (%),Cloudiness (%),Wind Speed (m/s),Country,Date
0,codrington,-38.2667,141.9667,15.12,95,6,0.46,AU,2024-02-03
1,igarka,67.4667,86.5833,-11.93,96,100,4.78,RU,2024-02-03
2,wailua homesteads,22.0669,-159.378,20.44,57,100,11.32,US,2024-02-03
3,waitangi,-43.9535,-176.5597,14.9,94,2,0.45,NZ,2024-02-03
4,altai,46.3722,96.2583,-14.58,96,100,1.35,MN,2024-02-03
5,vilyuchinsk,52.9306,158.4028,-18.75,84,6,4.78,RU,2024-02-03
6,puerto natales,-51.7236,-72.4875,11.25,58,20,10.29,CL,2024-02-03
7,pacific grove,36.6177,-121.9166,7.88,87,20,2.57,US,2024-02-03
8,albany,42.6001,-73.9662,-1.85,77,63,0.89,US,2024-02-03
9,phalodi,27.1333,72.3667,20.32,49,97,2.48,IN,2024-02-03
10,carnarvon,-24.8667,113.6333,24.34,81,4,10.44,AU,2024-02-03
11,san pedro de lloc,-7.4328,-79.5058,24.35,78,100,2.92,PE,2024-02-03
12,pimentel,-6.8367,-79.9342,25.16,78,0,2.06,PE,2024-02-03
13,baytown,29.7355,-94.9774,16.11,81,100,2.16,US,2024-02-03
14,berdigestyakh,62.0989,126.6992,-33.15,100,72,1.35,RU,2024-02-03
15,holualoa,19.6228,-155.9522,19.91,91,0,11.83,US,2024-02-03
16,iqaluit,63.7506,-68.5145,-27.15,69,20,4.63,CA,2024-02-03
17,thinadhoo,0.5333,72.9333,28.63,76,100,4.75,MV,2024-02-03
18,petropavlovsk-kamchatsky,53.0452,158.6483,-19.57,85,0,3.58,RU,2024-02-03
19,constantia,44.1833,28.65,8.38,55,41,8.12,RO,2024-02-03
20,qaqortoq,60.7167,-46.0333,-20.8,74,2,3.91,GL,2024-02-03
21,port-aux-francais,-49.35,70.2167,7.55,83,15,5.12,TF,2024-02-03
22,tura,25.5198,90.2201,13.9,32,0,0.7,IN,2024-02-03
23,tazovsky,67.4667,78.7,-15.52,94,100,3.3,RU,2024-02-03
24,newman,37.3138,-121.0208,8.13,91,54,0.89,US,2024-02-03
25,blackmans bay,-43.0167,147.3167,18.07,67,100,3.09,AU,2024-02-03
26,broken hill,-31.95,141.4333,29.47,15,100,3.58,AU,2024-02-03
27,taoudenni,22.6783,-3.9836,25.61,8,0,6.17,ML,2024-02-03
28,isafjordur,66.0755,-23.124,-5.98,79,75,2.06,IS,2024-02-03
29,basco,20.4487,121.9702,24.47,87,0,7.7,PH,2024-02-03
30,anadyr,64.75,177.4833,-16.72,60,100,13.0,RU,2024-02-03
31,yellowknife,62.456,-114.3525,-14.21,96,100,8.23,CA,2024-02-03
32,qamdo,31.1667,97.2333,-10.93,22,7,1.83,CN,2024-02-03
33,hawaiian paradise park,19.5933,-154.9731,18.91,97,100,7.2,US,2024-02-03
34,ajuchitlan del progreso,18.1519,-100.4835,18.88,59,0,0.48,MX,2024-02-03
35,margaret river,-33.95,115.0667,16.43,68,0,6.36,AU,2024-02-03
36,malindi,-3.2175,40.1191,31.09,66,20,4.12,KE,2024-02-03
37,grytviken,-54.2811,-36.5092,8.54,93,100,5.22,GS,2024-02-03
38,bethel,41.3712,-73.414,0.3,67,0,6.69,US,2024-02-03
39,lebu,-37.6167,-73.65,16.19,76,2,7.46,CL,2024-02-03
40,belmonte,-15.8631,-38.8828,28.83,61,100,2.37,BR,2024-02-03
41,hermanus,-34.4187,19.2345,29.89,66,100,8.36,ZA,2024-02-03
42,sao joao da barra,-21.6403,-41.0511,30.05,80,90,2.1,BR,2024-02-03
43,susuman,62.7833,148.1667,-25.01,94,100,1.79,RU,2024-02-03
44,dalbandin,28.8947,64.4101,20.32,24,100,5.45,PK,2024-02-03
45,babana,10.4295,3.815,33.53,11,8,3.17,NG,2024-02-03
46,invercargill,-46.4,168.35,10.57,76,100,2.68,NZ,2024-02-03
47,el calafate,-50.3408,-72.2768,8.3,59,9,3.71,AR,2024-02-03
48,olonkinbyen,70.9221,-8.7187,-5.47,66,100,10.38,SJ,2024-02-03
49,adamstown,-25.066,-130.1015,24.49,78,37,4.27,PN,2024-02-03
50,bamboo flat,11.7,92.7167,28.05,69,20,2.06,IN,2024-02-03
51,manismata,-2.4667,111.0333,24.83,94,100,1.28,ID,2024-02-03
52,tolanaro,-25.0319,46.9987,29.04,65,40,9.26,MG,2024-02-03
53,praia da vitoria,38.7333,-27.0667,18.75,77,20,5.37,PT,2024-02-03
54,papatowai,-46.5619,169.4708,11.79,67,100,7.37,NZ,2024-02-03
55,lengshuitan,26.4111,111.5956,0.57,87,100,2.83,CN,2024-02-03
56,enewetak,11.3474,162.3373,26.62,84,32,10.04,MH,2024-02-03
57,edinburgh of the seven seas,-37.0676,-12.3116,16.67,82,62,10.23,SH,2024-02-03
58,kingscliff,-28.2667,153.5667,27.19,78,100,5.66,AU,2024-02-03
59,ribeira grande,38.5167,-28.7,18.22,77,20,6.71,PT,2024-02-03
60,lepsy,46.235,78.9456,-7.72,85,100,4.25,KZ,2024-02-03
61,alofi,-19.0595,-169.9187,27.23,80,98,3.13,NU,2024-02-03
62,ust-nera,64.5667,143.2,-31.91,99,99,1.82,RU,2024-02-03
63,sumbawa besar,-8.5,117.4333,25.52,90,100,1.24,ID,2024-02-03
64,dwarka,22.2394,68.9678,24.01,61,0,4.54,IN,2024-02-03
65,utrik,11.2278,169.8474,26.27,79,13,9.94,MH,2024-02-03
66,west island,-12.1568,96.8225,27.99,89,40,3.6,CC,2024-02-03
67,tiksi,71.6872,128.8694,-34.57,100,100,1.99,RU,2024-02-03
68,howard springs,-12.497,131.047,28.95,94,100,3.42,AU,2024-02-03
69,bilibino,68.0546,166.4372,-27.35,76,0,3.4,RU,2024-02-03
70,nuuk,64.1835,-51.7216,-11.66,72,75,5.66,GL,2024-02-03
71,trairi,-3.2778,-39.2689,31.44,55,96,6.01,BR,2024-02-03
72,jiexiu,37.0244,111.9125,-0.8,70,96,0.46,CN,2024-02-03
73,tsiombe,-25.3,45.4833,27.3,58,4,8.35,MG,2024-02-03
74,yeppoon,-23.1333,150.7333,25.88,72,4,5.5,AU,2024-02-03
75,happy valley-goose bay,53.3168,-60.3315,-23.83,70,20,2.06,CA,2024-02-03
76,salym,60.0625,71.4789,-18.01,100,93,1.27,RU,2024-02-03
77,badger,64.8,-147.5333,-38.69,65,100,1.54,US,2024-02-03
78,kingston,17.997,-76.7936,26.53,77,40,2.06,JM,2024-02-03
79,alice springs,-23.7,133.8833,29.75,26,100,3.09,AU,2024-02-03
80,port elizabeth,-33.918,25.5701,27.95,76,20,5.14,ZA,2024-02-03
81,downpatrick,54.3263,-5.7035,9.72,68,68,6.67,GB,2024-02-03
82,ancud,-41.8697,-73.8203,14.61,60,41,0.48,CL,2024-02-03
83,kavaratti,10.5669,72.642,26.75,68,70,2.46,IN,2024-02-03
84,bredasdorp,-34.5322,20.0403,26.18,68,97,7.08,ZA,2024-02-03
85,arauquita,7.0292,-71.4281,25.66,83,100,1.32,CO,2024-02-03
86,cananeia,-25.0147,-47.9267,25.87,80,33,1.9,BR,2024-02-03
87,hau-ri,41.2006,129.4703,-7.16,95,80,1.17,KP,2024-02-03
88,trincomalee,8.5711,81.2335,27.0,77,38,5.12,LK,2024-02-03
89,new plymouth,-39.0667,174.0833,13.23,67,88,4.39,NZ,2024-02-03
90,anderstorp,58.8833,14.2833,6.58,67,23,8.58,SE,2024-02-03
91,coxim,-18.5067,-54.76,32.06,43,100,3.55,BR,2024-02-03
92,poronaysk,49.2167,143.1167,-21.25,95,9,2.54,RU,2024-02-03
93,wangqing,43.3218,129.7634,-16.11,88,4,1.23,CN,2024-02-03
94,port mathurin,-19.6833,63.4167,27.02,72,20,7.57,MU,2024-02-03
95,whitehorse,60.7161,-135.0538,-27.57,76,75,2.06,CA,2024-02-03
96,filadelfia,39.9523,-75.1638,3.33,68,75,5.66,US,2024-02-03
97,baijiantan,45.6333,85.1833,-13.54,92,21,2.34,CN,2024-02-03
98,coquimbo,-29.9533,-71.3436,18.85,82,75,2.06,CL,2024-02-03
99,dehui,44.5333,125.7,-23.6,99,7,1.98,CN,2024-02-03
100,nchelenge,-9.3451,28.734,25.51,66,99,1.37,ZM,2024-02-03
101,margate,51.3813,1.3862,13.26,78,100,3.58,GB,2024-02-03
102,pecan plantation,32.3604,-97.6756,12.19,94,40,3.6,US,2024-02-03
103,saipan,15.1355,145.701,26.39,73,75,8.23,MP,2024-02-03
104,qulsary,46.9531,54.0198,-0.64,91,100,5.47,KZ,2024-02-03
105,jinghong,21.991,100.7341,17.34,52,3,1.8,CN,2024-02-03
106,port-gentil,-0.7193,8.7815,28.53,70,100,2.25,GA,2024-02-03
107,ushuaia,-54.8,-68.3,5.81,75,75,0.51,AR,2024-02-03
108,remire-montjoly,4.9167,-52.2667,30.02,70,100,4.12,GF,2024-02-03
109,thompson,55.7435,-97.8558,-3.91,100,100,4.12,CA,2024-02-03
110,tavda,58.0425,65.2726,-16.06,97,100,3.55,RU,2024-02-03
111,puerto ayora,-0.7393,-90.3518,26.01,84,60,3.94,EC,2024-02-03
112,corner brook,48.9667,-57.9484,-6.91,91,100,2.46,CA,2024-02-03
113,griffith,41.5284,-87.4237,-1.04,96,0,2.06,US,2024-02-03
114,longyearbyen,78.2186,15.6401,-11.09,73,20,7.72,SJ,2024-02-03
115,cafayate,-26.073,-65.9761,26.47,49,2,2.12,AR,2024-02-03
116,ugoofaaru,5.6667,73.0,27.84,76,99,4.8,MV,2024-02-03
117,antsiranana,-12.2787,49.2917,26.42,94,75,3.09,MG,2024-02-03
118,la ronge,55.1001,-105.2842,0.14,93,100,3.09,CA,2024-02-03
119,dudinka,69.4058,86.1778,-14.07,93,100,5.81,RU,2024-02-03
120,san fernando,15.0286,120.6898,27.85,81,60,2.0,PH,2024-02-03
121,malango,-2.9627,119.9001,21.38,99,100,0.33,ID,2024-02-03
122,aleksandrov gay,50.147,48.5704,-3.75,91,86,6.17,RU,2024-02-03
123,kodiak,57.79,-152.4072,-5.27,80,100,2.57,US,2024-02-03
124,chengdu,30.6667,104.0667,6.94,65,40,3.0,CN,2024-02-03
125,bubaque,11.2833,-15.8333,26.57,51,0,4.13,GW,2024-02-03
126,yuzhno-kurilsk,44.0306,145.8556,-4.48,74,100,6.04,RU,2024-02-03
127,marquette,46.5333,-87.6335,-4.25,87,3,2.68,US,2024-02-03
128,cox's bazar,21.4532,91.9798,19.39,74,0,3.04,BD,2024-02-03
129,lihue,21.9789,-159.3672,20.77,55,100,11.32,US,2024-02-03
130,udachny,66.4167,112.4,-30.46,87,92,1.27,RU,2024-02-03
131,luderitz,-26.6481,15.1594,23.67,74,9,6.86,NA,2024-02-03
132,lorinci,47.7329,19.6787,12.64,75,24,8.33,HU,2024-02-03
133,phillip island,-38.4835,145.231,19.15,88,0,1.61,AU,2024-02-03
134,virginia,37.5481,-77.4467,2.25,85,0,3.09,US,2024-02-03
135,college,64.8569,-147.8028,-38.64,64,100,1.54,US,2024-02-03
136,jamestown,42.097,-79.2353,-0.23,89,100,3.6,US,2024-02-03
137,aden,12.7794,45.0367,26.32,74,4,4.57,YE,2024-02-03
138,kuloy,61.0305,42.4925,-9.39,100,68,1.52,RU,2024-02-03
139,kone,-21.0595,164.8658,26.17,92,100,2.33,NC,2024-02-03
140,carauari,-4.8828,-66.8958,29.22,74,89,0.91,BR,2024-02-03
